カードID=01100410CA138C1D
利用年月日,定期,鉄道会社名,入場駅/事業者名,定期,鉄道会社名,出場駅/降車場所,利用額(円),残額(円),メモ
2018/03/01,,東武,五反野,,東武,北千住,144,361,
2018/02/28,,メトロ,秋葉原,,東武,五反野,339,505,
2018/02/28,,JR東,大崎,,JR東,秋葉原,194,844,
2018/02/28,,JR東,北千住,,JR東,大崎,302,1038,
2018/02/28,,東武,五反野,,東武,北千住,144,1340,
2018/02/27,,東武,北千住,,東武,五反野,144,1484,
2018/02/27,,JR東,大崎,,JR東,北千住,302,1628,
2018/02/27,,JR東,北千住,,JR東,大崎,302,1930,
2018/02/27,,東武,五反野,,東武,北千住,144,2232,
2018/02/26,,東武,五反野,,,,-2000,2376,現金ﾁｬｰｼﾞ
2018/02/26,,東武,北千住,,東武,五反野,144,376,
2018/02/26,,,大崎,,,北千住,302,520,
2018/02/26,,,北千住,,,大崎,302,822,
2018/02/25,,,栃木,,,五反野,885,1124,
2018/02/25,,,栃木,,,,-2000,2009,現金ﾁｬｰｼﾞ
2018/02/24,,東武,五反野,,東武,栃木,885,9,
2018/02/24,,東武,栃木,,,,-230,894,現金ﾁｬｰｼﾞ
2018/02/23,,メトロ,上野,,東武,五反野,309,664,
2018/02/23,,JR東,大崎,,JR東,上野,194,973,
2018/02/23,,JR東,北千住,,JR東,大崎,302,1167,
2018/02/23,,東武,五反野,,東武,北千住,144,1469,
2018/02/22,,東武,北千住,,東武,五反野,144,1613,
2018/02/22,,JR東,大崎,,JR東,北千住,302,1757,
2018/02/22,,JR東,秋葉原,,JR東,大崎,194,2059,
2018/02/22,,TX,青井,,TX,秋葉原,329,2253,
2018/02/21,,東武,北千住,,東武,五反野,144,2582,
2018/02/21,,JR東,大崎,,JR東,北千住,302,2726,
2018/02/21,,JR東,北千住,,JR東,大崎,302,3028,
2018/02/21,,東武,五反野,,東武,北千住,144,3330,
2018/02/20,,JR東,大崎,,東武,五反野,446,3474,
2018/02/20,,JR東,北千住,,JR東,大崎,302,3920,
2018/02/20,,東武,五反野,,東武,北千住,144,4222,
2018/02/19,,東武,北千住,,東武,五反野,144,4366,
2018/02/19,,JR東,大崎,,JR東,北千住,302,4510,
2018/02/19,,JR東,北千住,,JR東,大崎,302,4812,
2018/02/19,,東武,五反野,,東武,北千住,144,5114,
2018/02/18,,東武,五反野,,,,-5000,5258,現金ﾁｬｰｼﾞ
2018/02/18,,東武,栃木,,東武,五反野,885,258,
2018/02/18,,東武,栃木,,,,-1000,1143,現金ﾁｬｰｼﾞ
2018/02/16,,東武,五反野,,東武,栃木,885,143,
2018/02/16,,東武,五反野,,,,-1000,1028,現金ﾁｬｰｼﾞ
2018/02/16,,JR東,大崎,,東武,五反野,446,28,
2018/02/16,,JR東,北千住,,JR東,大崎,302,474,
2018/02/16,,東武,五反野,,東武,北千住,144,776,
2018/02/15,,JR東,大崎,,東武,五反野,446,920,
2018/02/15,,JR東,北千住,,JR東,大崎,302,1366,
2018/02/15,,東武,五反野,,東武,北千住,144,1668,
2018/02/14,,TX,新御徒町,,TX,青井,288,1812,
2018/02/14,,JR東,大崎,,JR東,御徒町,194,2100,
